MAN,,,,,,,,,,,,,
neighbourhood,total_residents,0 - 6, 6 - 15,15 - 18,18 - 20,20 - 25,25 - 30,30 - 35,35 - 40,40 - 45,45 - 60,60 - 65,65+
Mitte, 126 647, 8 105, 11 220, 3 706, 2 414, 7 243, 10 685, 12 277, 11 732, 9 321, 23 379, 8 132, 18 433
Friedrichshain-Kreuzberg, 103 159, 6 433, 9 388, 2 984, 1 770, 5 097, 7 124, 9 273, 10 506, 9 795, 22 566, 6 485, 11 738
Pankow, 167 046, 9 522, 16 364, 5 495, 3 208, 7 481, 8 485, 10 428, 13 593, 13 545, 41 041, 12 271, 25 613
Charlottenburg-Wilmersdorf, 119 286, 6 512, 9 169, 3 072, 2 098, 6 105, 8 026, 8 229, 8 102, 7 161, 21 988, 9 471, 29 353
Spandau, 92 122, 5 720, 8 929, 2 926, 1 863, 5 048, 5 406, 5 697, 5 900, 5 618, 16 924, 7 303, 20 788
Steglitz-Zehlendorf, 119 479, 6 200, 11 209, 3 867, 2 445, 6 057, 5 986, 6 020, 6 658, 6 972, 23 516, 9 681, 30 868
Tempelhof-Schöneberg, 132 337, 8 178, 11 746, 3 714, 2 429, 6 891, 8 197, 8 924, 9 148, 8 601, 25 316, 10 507, 28 686
Neukölln, 115 596, 7 892, 11 345, 3 513, 2 262, 6 186, 7 115, 8 854, 9 482, 8 549, 20 698, 8 211, 21 489
Treptow-Köpenick, 120 126, 7 161, 10 447, 3 109, 1 896, 5 653, 6 500, 7 097, 10 164, 9 544, 24 169, 9 654, 24 732
Marzahn-Hellersdorf, 116 486, 6 425, 11 280, 3 508, 2 082, 5 161, 4 893, 5 697, 9 457, 9 234, 21 084, 10 060, 27 605
Lichtenberg, 115 709, 6 769, 10 573, 3 075, 1 935, 5 334, 6 236, 7 284, 11 187, 10 046, 21 458, 8 128, 23 684
Reinickendorf, 101 153, 6 152, 9 782, 3 003, 1 989, 5 203, 5 394, 5 742, 6 257, 5 843, 18 709, 8 377, 24 702
Berlin,1 429 146, 85 069, 131 452, 41 972, 26 391, 71 459, 84 047, 95 522, 112 186, 104 229, 280 848, 108 280, 287 691