date,Berlin,Mitte,"Friedrichs-
hain-
Kreuz-
berg",Pankow,"Charlotten-
burg-
Wilmers-
dorf",Spandau,"Steglitz-
Zehlen-
dorf","Tempel-
hof-
Schöne-
berg",Neukölln,"Treptow-
Köpenick","Marzahn-
Hellers-
dorf","Lichten-
berg","Reinicken-
dorf"
31-12-2013,2978695,246898,209873,344476,254788,198107,262124,279111,248564,234886,241028,239745,219095
31-12-2014,2988824,249437,210327,346895,254874,198260,262294,279723,249199,236585,241123,240455,219652
31-12-2015,2989081,250026,210027,348356,254598,197423,261585,279672,248687,237311,240963,241459,218974
31-12-2016,2993881,250476,209391,349723,255008,196798,262923,280094,247626,239543,240340,242566,219393
31-12-2017,3000648,251890,209525,350578,256101,196237,263934,280342,246942,242587,240427,243375,218710
31-12-2018,2999676,252387,210230,350790,256083,195576,263280,279882,246076,244524,240417,242822,217609
31-12-2019,2992150,252933,209557,350230,255252,194733,262629,278687,244617,245757,239406,242241,216108
31-12-2020,2980886,252509,208424,349565,254511,193532,261099,277463,242341,245939,239282,241626,214595
31-12-2021,2964146,251350,206519,347698,252844,192652,259351,276134,240227,246346,238919,239745,212361
31-12-2022,2950665,250609,205287,345182,251961,191713,257627,275483,238516,246323,238721,238464,210779
31-12-2023,2931731,248725,203929,342850,251010,190137,255323,274362,236972,245795,237718,235935,208975
31-12-2024,2925267,249053,202632,343105,249994,189914,254706,273377,235693,246400,236448,235846,208099