date,total_residents,total_residents_male,total_residents_female,german_residents,german_residents_male,german_residents_female,foreigner_residents,foreigner_residents_male,foreginer_residents_female
31-12-2000,3331232,1616893,1714339,2896115,1383190,1512925,435117,233703,201414
31-12-2001,3337232,1620941,1716291,2896886,1386122,1510764,440346,234819,205527
31-12-2002,3336248,1621209,1715039,2893694,1387171,1506523,442554,234038,208516
31-12-2003,3330242,1619735,1710507,2886215,1386302,1499913,444027,233433,210594
31-12-2004,3333108,1623246,1709862,2882208,1386858,1495350,450900,236388,214512
31-12-2005,3339436,1628776,1710660,2878881,1387455,1491426,460555,241321,219234
31-12-2006,3348805,1635848,1712957,2881122,1390817,1490305,467683,245031,222652
31-12-2007,3353858,1638743,1715115,2883854,1393559,1490295,470004,245184,224820
31-12-2008,3362843,1643408,1719435,2892792,1399634,1493158,470051,243774,226277
31-12-2009,3369672,1646698,1722974,2909485,1409854,1499631,460187,236844,223343
31-12-2010,3387562,1655631,1731931,2929756,1421436,1508320,457806,234195,223611
31-12-2011,3427114,1676434,1750680,2948902,1431917,1516985,478212,244517,233695
31-12-2012,3469621,1699007,1770614,2965676,1441362,1524314,503945,257645,246300
31-12-2013,3517424,1725465,1791959,2978695,1448806,1529889,538729,276659,262070
31-12-2014,3562166,1750121,1812045,2988824,1454335,1534489,573342,295786,277556
31-12-2015,3610156,1779319,1830837,2989081,1455271,1533810,621075,324048,297027
31-12-2016,3670622,1813879,1856743,2993881,1457753,1536128,676741,356126,320615
31-12-2017,3711930,1836008,1875922,3000648,1462153,1538495,711282,373855,337427
31-12-2018,3748148,1855248,1892900,2999676,1462230,1537446,748472,393018,355454
31-12-2019,3769495,1865443,1904052,2992150,1458820,1533330,777345,406623,370722
31-12-2020,3769962,1866235,1903727,2980886,1453833,1527053,789076,412402,376674
31-12-2021,3775480,1868158,1907322,2964146,1445629,1518517,811334,422529,388805
31-12-2022,3850809,1902048,1948761,2950665,1439781,1510884,900144,462267,437877
31-12-2023,3878100,1918937,1959163,2931731,1431290,1500441,946369,487647,458722
31-12-2024,3897145,1930650,1966495,2925267,1429146,1496121,971878,501504,470374